id,title,description,price,image,category,asin,saves,featured,trending,rating,reviewcount,amazonlink
1,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,"Industry-leading noise cancellation with two processors controlling 8 microphones. Up to 30-hour battery life with quick charging. Premium sound quality with LDAC and DSEE Extreme.",399.99,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800&h=600&fit=crop,"electronics, trending",B0BXNX1HFG,245,TRUE,TRUE,4.7,12453,https://amzn.to/3JOdFdp
2,GoPro HERO12 Black 4K Action Camera,"Waterproof to 33ft, stunning 5.3K60 video, 27MP photos, HyperSmooth 6.0 stabilization. Perfect for adventure seekers capturing life's most exciting moments.",349.99,https://images.unsplash.com/photo-1606925797300-0b35e9d1794e?w=800&h=600&fit=crop,"electronics, gift-ideas",B0CDZMD3XR,189,FALSE,FALSE,4.6,3892,
3,Apple Watch Series 9 GPS + Cellular,"Advanced health and fitness features including ECG, blood oxygen monitoring, and sleep tracking. Emergency SOS, fall detection, and always-on Retina display. Water resistant to 50m.",499.99,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800&h=600&fit=crop,"electronics, trending, gift-ideas",B0CHX8SZQS,312,FALSE,TRUE,4.8,8104,
4,JBL Flip 6 Portable Bluetooth Speaker,"IP67 waterproof and dustproof portable speaker with powerful JBL sound. 12 hours of playtime, bold audio, and deep bass. Perfect for any adventure.",129.95,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=800&h=600&fit=crop,"electronics, gift-ideas",B09HQQ2LNV,167,FALSE,FALSE,4.8,54743,
5,Ninja AF101 Air Fryer 4 Qt,"Air fry, roast, reheat, and dehydrate with one versatile appliance. Wide temperature range 105°F-400°F. Dishwasher safe basket and crisper plate. Cooks up to 75% less fat than traditional frying.",89.99,https://images.unsplash.com/photo-1585515320310-259814833806?w=800&h=600&fit=crop,"home-kitchen, trending",B07FDJMC9Q,428,TRUE,TRUE,4.8,78256,
6,iRobot Roomba j7+ Self-Emptying Robot Vacuum,"Identifies and avoids obstacles like pet waste and charging cords. Empties itself for up to 60 days. Smart mapping lets you control which rooms to clean. Works with Alexa.",599.99,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=800&h=600&fit=crop,"home-kitchen, trending",B09XBZCFX7,521,FALSE,TRUE,4.5,5876,
7,Breville Barista Express Espresso Machine,"Integrated conical burr grinder with dose-control grinding. Micro-foam milk texturing for cafe-quality latte art. Digital temperature control for optimal espresso extraction.",699.95,https://images.unsplash.com/photo-1517668808822-9ebb02f2a0e6?w=800&h=600&fit=crop,"home-kitchen, gift-ideas",B00CH9QWOU,294,FALSE,FALSE,4.6,12342,
8,Philips Hue White and Color Smart Bulb Starter Kit,"4-pack smart LED bulbs with bridge. 16 million colors and 50,000 shades of white. Works with Alexa, Google Assistant, and Apple HomeKit. Set routines and schedules.",199.99,https://images.unsplash.com/photo-1550985616-10810253b84d?w=800&h=600&fit=crop,"home-kitchen, electronics",B07QV9XB87,156,FALSE,FALSE,4.7,34987,
9,Holy Stone HS720E 4K EIS Drone with UHD Camera,"4K UHD camera with EIS anti-shake, GPS assisted flight, 5GHz FPV transmission. 46 minutes flight time with 2 batteries. Perfect for beginners and experienced pilots alike.",299.99,https://images.unsplash.com/photo-1473968512647-3e447244af8f?w=800&h=600&fit=crop,"toys, electronics, gift-ideas",B09QV95SJN,203,FALSE,FALSE,4.3,2654,
10,LEGO Classic Large Creative Brick Box,"790-piece building block set with 33 different colors. Includes windows, eyes, and lots of wheels. Perfect for ages 4-99. Encourages creativity and imagination.",54.99,https://images.unsplash.com/photo-1587654780291-39c9404d746b?w=800&h=600&fit=crop,"toys, gift-ideas",B07Q2HHLHT,178,FALSE,FALSE,4.9,43245,
11,WowWee CHiP Robot Dog Toy,"Smart robot dog with intelligent personality. Responds to touch, voice, and smart ball. Plays fetch, dances, and learns tricks. Includes charging bed that doubles as a play area.",179.99,https://images.unsplash.com/photo-1563207153-f403bf289096?w=800&h=600&fit=crop,"toys, electronics, trending",B01BNJFBY8,267,FALSE,TRUE,4.2,3834,
12,National Geographic Mega Science Lab Kit,"Over 15 science experiments including crystal growing, volcano eruption, and more. Full-color learning guide with detailed explanations. Perfect STEM gift for curious minds.",44.99,https://images.unsplash.com/photo-1532094349884-543bc11b234d?w=800&h=600&fit=crop,"toys, gift-ideas",B07YS86WW5,142,FALSE,FALSE,4.6,8567,
13,Lovery Spa Gift Basket Set - 12 Piece Bath & Body Set,"Luxurious spa gift set with vanilla coconut scent. Includes bath bombs, shower gel, bubble bath, body lotion, bath salts, and more. Perfect self-care gift in beautiful packaging.",39.99,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&h=600&fit=crop,gift-ideas,B07GBZJV45,234,FALSE,FALSE,4.5,12092,
